테마명,종목명,테마 사유
LCD장비 ,포인트엔지니어링,"표면처리 전문업체. 디스플레이(LCD 및 OLED) 및 반도체 공정에 사용되는 공정장비의 핵심부품을 제작, 가공 및 표면처리를 중점사업으로 영위. 주요 제품으로는 Diffuser(Shower Head) 및 Susceptor, Shadow Frame 등이 있음."
LCD장비 ,로체시스템즈,"반도체 및 TFT-LCD용 제조 장비 생산 전문업체. 반도체용 Clean Robot을 비롯하여 LCD용 Clean Robot, Indexer, EFEM, Laser를 이용한 Glass Cutting System 등의 최첨단 고기능의 장비를 개발, 공급. 주요 매출처는 삼성전자, 삼성디스플레이(SDC) 등."
LCD장비 ,스마트솔루션즈,"반도체, 평판 디스플레이(LCD, OLED 등) 검사장비 제조/판매 업체. 주력 제품은 플라즈마 공정진단 장비, 유리기판 검사장비 등."
LCD장비 ,넥스트아이,"액정표시장치(LCD) 검사장비 개발업체. 머신비전(Machine Vision) 기술을 활용해 각종 첨단 제품 또는 관련 부품의 외관검사를 하는 장비를 제조/판매하는 것을 주요 사업으로 영위. 주요 제품은 편광필름검사장비, X-RAY, 3차원 측정기, 유리깨짐검사장비 등."
LCD장비 ,비아트론,"디스플레이 패널 열처리장비 전문업체. AMOLED, LTPS LCD, Oxide TFT, Flexible Display 등의 디스플레이 패널 제작을 위한 backplane 제조 관련 열처리장비를 주요제품으로 생산/판매중."
LCD장비 ,명성티엔에스,"2차전지 핵심 소재 중 하나인 분리막 생산 설비 전문 제조업체. 디스플레이용 압력용기(Auto Clave : LCD 또는 OLED 제조공정에서 유리와 필름, 유리와 유리 사이에 남아있는 기포를 압력을 가하여 제거하는 장비) 사업도 영위."
LCD장비 ,씨앤지하이테크,"반도체 및 디스플레이(LCD, OLED 등)용 화학약품 혼합장치/재생장치 생산 업체. 반도체/디스플레이 제조 공정에 필요한 화학약품을 최종 양산 설비에 자동화로 공급하는 장치인 CCSS를 주요제품으로 생산하며, DSP + 혼합 장치, SC-1 혼합 장치, 현상액 혼합 장치, 암모니아수 혼합 장치, 불산 혼합 장치, ACQC/저장 및 공급 장치, 화학약품 재생 장치(DPF & DDS-11) 등이 있음."
LCD장비 ,탑엔지니어링,"반도체, LCD, LED Chip 제조 및 OLED 공정장비 제조를 주력사업으로 영위. LCD 제조장비 중 ODF 공정 핵심 장비인 Dispenser는 높은 글로벌 점유율을 기록."
LCD장비 ,케이씨텍,"디스플레이 및 반도체 공정에 사용되는 전공정 장비 및 소모성 재료 생산, 판매."
LCD장비 ,인베니아,"LIG그룹 계열로 TFT-LCD, OLED 등의 디스플레이 패널 제조 장비 개발/제작/판매 사업을 영위. LG디스플레이에 5세대 장비 납품을 시작으로 현재 10.5세대 장비를 양산 납품 중."
LCD장비 ,아바코,"LCD, OLED, PDP 등 평판디스플레이 관련 장비업체. 진공장비, 전용장비, 자동화장비 등의 평판디스플레이(FPD) 제조용 장비와 박막형 태양전지 장비 사업을 영위."
LCD장비 ,HB테크놀러지,"LCD 및 AMOLED, 반도체 검사장비의 제품을 생산/판매하는 업체."
LCD장비 ,아이씨디,"AM-OLED, TFT-LCD 등 FPD(Flat Panel Display) 의 양산에 필요한 전공정 제조 장비 생산/판매 업체."
LCD장비 ,디에스케이,"LCD 여러 제조공정 중 모듈공정의 BONDING 장비를 주 사업영역으로 하고 있으며, 주요 제품으로는 PCB Bonding System 및 In-Line System이 있음."
LCD장비 ,로보스타,제조용 로봇 및 자동화 장비 개발/생산하는 산업용 로봇 전문업체. 평판디스플레이(FPD) 공정의 핵심 역할인 이송 및 적재용으로 활용되는 트랜스퍼 로봇을 생산.
LCD장비 ,톱텍,평판디스플레이(Flat Panel Display) 제조공정에 필수적으로 사용되는 자동화설비 전문 제조업체.
LCD장비 ,티로보틱스,"16년 샤프에 10세대 LCD용 진공이송로봇을 공급하였으며, 17년에는 중국 BOE에 10.5세대 LCD용 제품을 공급."
LCD장비 ,예스티,"디스플레이(LCD, LED, OLED) 및 반도체 장비 제조/판매 업체. 주요 제품으로 삼성전자 반도체 생산공정과 삼성디스플레이의 FPD 패널 생산공정에 투입되는 열처리, 온도제어 및 검사장비 등이 있음. 주요고객사는 삼성전자, 삼성디스플레이."
LCD장비 ,케이엔제이,"디스플레이 패널 관련 Edge Grinder(엣지그라인더)와 CVD-SiC(탄화규소) Product 생산 업체. 디스플레이(LCD, LED, OLED) 제조용 장비인 Edge Grinder(엣지그라인더)와 검사장비 등을 생산. 주요 고객은 삼성디스플레이."
LCD장비 ,이엘피,"AMOLED 및 LCD 디스플레이 검사장비 제조, 판매업체. 주요 제품으로 AMOLED 패널에이징(Panel Aging) 및 검사용 장비를 생산중. 주요 거래처로 삼성디스플레이, LG디스플레이 등이 있음."
LCD장비 ,원익IPS,"반도체 증착장비 및 장치, LCD/AMOLED장비, SOLAR CELL장비 등을 제조, 판매하는 업체. TFT-LCD 패널 제조 시, 기판 위에 원하는 패턴을 형성하기 위한 핵심공정 장비인 Dry Etcher 생산."
LCD장비 ,테크윙,자회사 이엔씨테크놀러지를 통해 OLED/LCD광 평가 장비 생산.
LCD장비 ,동아엘텍,"LCD검사장비, OLED 검사장비 등 디스플레이 제조 공정상 주로 후공정의 검사장비를 제조, 판매하는 사업 영위."
LCD장비 ,한양이엔지,반도체/디스플레이 유틸리티 설비 및 관련 장비 제조 업체. 반도체 및 디스플레이 생산설비에 필수적인 고순도(UHP) 특수가스설비 및 기타 엔지니어링 서비스 제공.
LCD장비 ,에스티아이,"반도체 및 Display용 관련 장비제조/판매업체. 주요 제품으로는 반도체 및 Display용 CCSS(중앙약품 공급시스템), WET System(세정, 식각, 현상 시스템) 등. 특히, Wet Station 부문 중 TFT-LCD용 식각시스템(Glass Etching System)은 Dipping방식의 특허권 보유 장비."
LCD장비 ,미래컴퍼니,"Edge Grinder(LCD 패널의 단면을 다듬는 장비), Edge Inspection(LCD 패널의 단면을 다듬는 장비) 등을 주력 제품으로 생산하는 LCD 제조장비 업체."
LCD장비 ,에스에프에이,"자동화설비전문업체로 디스플레이기기 제조장비사업과 물류시스템사업, 반도체 패키징사업을 주된 사업으로 영위. 디스플레이기기 제조장비사업부문은 OLED/LCD 제조에 소요되는 제반 장비를 제작/공급중."
LCD장비 ,엘오티베큠,"반도체, 디스플레이(LCD, OLED), 태양광셀 제조 등에 사용되는 Fore Vacuum용 건식진공펌프 생산, 판매 업체."
LCD장비 ,AP시스템,"LCD장비(실런트분사장비, 진공합착장비, 액정분사장비, 자외선 경화 장비 등) 등을 생산."
LCD장비 ,피엔티,롤투롤(Roll-to-Roll) 기술을 활용한 디스플레이 및 2차전지 소재 생산장비 제조업체. 2007년10월 국내 최초 LCD Polishing설비 개발.
LCD장비 ,참엔지니어링,LCD 및 OLED 등 패널 제작시 발생되는 결함을 레이저로 수리하는 장비 등을 생산하는 FPD사업(Laser Repair 설비 등)을 영위.
LCD장비 ,상아프론테크,슈퍼 엔지니어링 플라스틱 소재 전문 생산업체. LCD 및 OLED 제조 공정중 패널의 보관 및 이송을 위한 FPD Cassette를 생산/판매.
LCD장비 ,브이원텍,"머신비전(Machine Vision) 및 화상처리를 통한 디스플레이 검사 S/W 개발 및 장비 제작업체. 주요 제품은 LCD/OLED 압흔검사기 외에 OLED 원장 FMM(Fine Metal Mask) Align 및 검사 비전 시스템, FPR 부착 검사기, RTP(Roll to Panel) Film 부착 검사기, COG/FOG/TAB 비전 시스템, 세정 전후 검사 시스템 등이 있음."
LCD장비 ,디아이티,"평판디스플레이(OLED,LCD,TSP,PDP) 검사장비, 레이저 커팅 및 그라인더 장비, 2차전지 Film 검사 장비 업체. LCD와 OLED(Rigid, Flexible), 각종 Film 소재의 제조공정에서 발생하는 불량을 검사 및 측정하는 ‘비접촉 광학 검사장비와 측정장비’ 사업과 LCD와 OLED 공정에서 액정의 성능을 향상 및 특정 용액을 경화시키기 위한 ‘UV 노광 및 경화 장비’ 사업 등을 영위."
